0.01;-0.12;1.03;4.39;4.70;0.98
0.01;-0.13;1.03;5.25;4.88;1.04
0.01;-0.14;1.03;5.80;4.58;0.92
0.01;-0.14;1.02;5.31;4.09;0.92
0.01;-0.14;1.02;4.15;3.60;1.04
0.01;-0.14;1.02;2.69;2.62;1.16
0.03;-0.12;1.02;1.59;1.40;0.79
0.03;-0.11;1.02;1.71;0.55;0.18
0.03;-0.10;1.03;3.48;-0.24;-0.31
0.03;-0.10;1.03;5.55;-0.55;-0.85
0.03;-0.12;1.03;7.26;-0.61;-0.79
0.02;-0.13;1.02;7.87;-0.12;-0.31
0.03;-0.13;1.02;6.96;0.49;0.55
0.03;-0.14;1.00;5.62;0.31;0.92
0.03;-0.14;1.00;3.48;-0.12;0.73
0.03;-0.14;1.00;1.59;-0.92;-0.37
0.03;-0.16;1.00;0.24;-1.65;-1.34
0.02;-0.22;1.00;-2.32;-2.01;-1.10
0.03;-0.28;1.00;-10.25;-1.95;0.24
0.03;-0.33;1.00;-25.02;-2.20;2.01
0.02;-0.38;1.00;-46.02;-2.69;3.66
0.02;-0.40;1.01;-71.35;-2.75;5.68
0.05;-0.34;1.00;-99.73;-1.34;6.65
0.06;-0.29;1.00;-126.22;-0.55;3.66
0.06;-0.19;1.01;-146.30;-1.34;-1.89
0.05;-0.11;1.00;-158.08;-2.87;-7.75
0.02;-0.10;0.97;-164.25;-4.52;-11.96
0.01;-0.07;0.94;-169.62;-6.59;-12.94
0.02;-0.10;0.85;-176.94;-9.09;-10.25
-0.00;-0.14;0.78;-192.32;-11.11;-5.43
-0.02;-0.09;0.76;-216.86;-14.89;-0.18
-0.03;-0.04;0.71;-243.71;-22.64;5.55
-0.08;-0.07;0.63;-272.03;-31.98;11.17
-0.12;0.01;0.54;-303.83;-39.43;15.20
-0.17;0.16;0.56;-329.65;-42.05;16.05
-0.14;0.37;0.62;-343.99;-41.14;14.65
-0.11;0.50;0.60;-345.89;-34.24;10.19
-0.03;0.52;0.58;-344.67;-22.71;4.94
0.05;0.56;0.53;-352.54;-14.40;0.85
0.14;0.62;0.46;-370.67;-9.64;-2.14
0.15;0.59;0.39;-394.96;-8.79;-3.30
0.11;0.56;0.23;-431.34;-11.84;-0.79
0.03;0.48;0.06;-482.30;-14.16;2.81
-0.11;0.46;-0.15;-543.88;-9.64;9.95
-0.18;0.78;-0.31;-603.33;2.56;22.89
-0.17;1.19;-0.39;-639.47;18.55;36.74
-0.10;1.38;-0.43;-645.32;31.13;48.65
-0.09;1.22;-0.50;-635.13;32.23;58.04
-0.10;1.11;-0.61;-626.77;26.18;67.57
-0.09;1.17;-0.72;-618.53;14.83;74.77
-0.07;1.19;-0.78;-594.06;-1.89;76.35
-0.05;1.01;-0.84;-551.70;-17.21;74.46
0.11;1.42;-0.75;-513.31;-47.61;77.58
0.17;1.58;-0.70;-437.32;-88.32;73.61
0.05;1.43;-0.62;-323.43;-124.69;79.22
-0.15;1.12;-0.67;-215.21;-143.68;98.14
-0.28;0.85;-0.68;-148.44;-142.09;126.04
-0.36;0.73;-0.67;-121.28;-122.92;141.60
-0.42;0.73;-0.70;-118.96;-95.15;140.20
-0.37;0.87;-0.77;-124.63;-63.17;125.49
-0.28;0.89;-0.79;-122.31;-34.12;96.25
-0.21;0.77;-0.76;-111.02;-16.30;66.16
-0.18;0.58;-0.72;-99.73;-10.19;45.90
-0.21;0.42;-0.69;-97.66;-12.45;38.21
-0.22;0.50;-0.64;-107.73;-13.92;30.09
-0.27;0.60;-0.68;-112.79;-14.65;20.20
